case_id,action_id,item_id,action_type,acquisition_channel,target_type,target_value,legacy_cost,case_events_scanned,recoverable_matched_event_count,observed_window_seconds,measurement_gap,actions_ref,motif_ref
C06-darpa-e3-cadets-0412,C06-AA-006,COST-52B48F47D3A5,ttp_local_probe,host_probe,technique,T1046,2.0,318821,23,75.389996,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
C06-darpa-e3-cadets-0412,C06-AA-007,COST-EEC09BF5233E,query_host_subgraph,host_forensics,case,R03 post-exploitation chain,4.0,318821,236,1071.089972,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
C07-darpa-e5-theia-0515,C07-AA-001,COST-99F8DC0E5A6A,recover_network_summary,network_telemetry,endpoint,Firefox to 208.203.20.42:80,2.0,256297,24,705.070376,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C07-darpa-e5-theia-0515/acquisition_actions.json,09-experiments/real_cases/C07-darpa-e5-theia-0515/motif_report.json
C07-darpa-e5-theia-0515,C07-AA-002,COST-D63BBCF48E50,query_host_subgraph,host_forensics,process,Firefox process lineage around report PID 534051,3.0,256297,24,705.070376,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C07-darpa-e5-theia-0515/acquisition_actions.json,09-experiments/real_cases/C07-darpa-e5-theia-0515/motif_report.json
C07-darpa-e5-theia-0515,C07-AA-003,COST-3BB4CB65783D,ttp_local_probe,host_probe,command,/sbin/modprobe -q -- binfmt-0000,2.0,256297,2,269.675963,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C07-darpa-e5-theia-0515/acquisition_actions.json,09-experiments/real_cases/C07-darpa-e5-theia-0515/motif_report.json
C07-darpa-e5-theia-0515,C07-AA-004,COST-6454721F8AE5,query_host_subgraph,host_forensics,file,/var/log/sshdlog,2.0,256297,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C07-darpa-e5-theia-0515/acquisition_actions.json,09-experiments/real_cases/C07-darpa-e5-theia-0515/motif_report.json
C07-darpa-e5-theia-0515,C07-AA-005,COST-B24204156BA3,human_review,analyst,context,load_helper.ko and read_scan.ko benign driver activity,2.0,256297,2,7.037196,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C07-darpa-e5-theia-0515/acquisition_actions.json,09-experiments/real_cases/C07-darpa-e5-theia-0515/motif_report.json
C08-darpa-e5-clearscope-0515,C08-AA-001,COST-F02FDABA698A,recover_network_summary,network_telemetry,endpoint,Appstarter busybox outbound Micro APT C2 socket,2.0,694872,12,700.479,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/acquisition_actions.json,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/motif_report.json
C08-darpa-e5-clearscope-0515,C08-AA-002,COST-04B42D3EAECD,query_host_subgraph,host_forensics,process,/data/data/de.belu.appstarter/busybox lineage,3.0,694872,12,700.479,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/acquisition_actions.json,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/motif_report.json
C08-darpa-e5-clearscope-0515,C08-AA-003,COST-0AE07A2B3A43,ttp_local_probe,host_probe,file,/dev/msm_g711tlaw elevate device,2.0,694872,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/acquisition_actions.json,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/motif_report.json
C08-darpa-e5-clearscope-0515,C08-AA-004,COST-02BEF882D3E3,query_host_subgraph,host_forensics,file,/system/bin/screencap,2.0,694872,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/acquisition_actions.json,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/motif_report.json
C08-darpa-e5-clearscope-0515,C08-AA-005,COST-480FF07115F1,human_review,analyst,context,/data/local/tmp/sl elevate-driver benign setup,2.0,694872,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/acquisition_actions.json,09-experiments/real_cases/C08-darpa-e5-clearscope-0515/motif_report.json
C09-darpa-optc-sysclient0201-0923,C09-AA-001,COST-1023DCFB0FC6,recover_network_summary,network_telemetry,endpoint,powershell Empire C2 to 132.197.158.98:80,2.0,753973,3762,9666.199,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/acquisition_actions.json,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/motif_report.json
C09-darpa-optc-sysclient0201-0923,C09-AA-002,COST-227AC4F8D97E,query_host_subgraph,host_forensics,process,powershell.exe Empire C2 lineage,3.0,753973,3762,9666.199,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/acquisition_actions.json,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/motif_report.json
C09-darpa-optc-sysclient0201-0923,C09-AA-003,COST-CCD52AE341D9,ttp_local_probe,host_probe,registry_key,HKCU\Environment\windir UAC bypass,2.0,753973,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/acquisition_actions.json,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/motif_report.json
C09-darpa-optc-sysclient0201-0923,C09-AA-004,COST-9D79C7ED950B,query_host_subgraph,host_forensics,module,Empire Get-Screenshot,2.0,753973,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/acquisition_actions.json,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/motif_report.json
C09-darpa-optc-sysclient0201-0923,C09-AA-005,COST-3E183A8D287C,query_host_subgraph,host_forensics,host,Invoke-WmiMethod to SysClient0402,3.0,753973,4,229.649,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/acquisition_actions.json,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/motif_report.json
C09-darpa-optc-sysclient0201-0923,C09-AA-006,COST-776959F47371,human_review,analyst,process,GoogleUpdate.exe benign updater activity,2.0,753973,16,11650.43,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/acquisition_actions.json,09-experiments/real_cases/C09-darpa-optc-sysclient0201-0923/motif_report.json
C10-darpa-optc-sysclient0351-0925,C10-AA-001,COST-18D9F54211A1,recover_network_summary,network_telemetry,endpoint,f.exe reverse TCP to 53.192.68.50:8080,2.0,37301,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/acquisition_actions.json,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/motif_report.json
C10-darpa-optc-sysclient0351-0925,C10-AA-002,COST-A2F44B694E23,query_host_subgraph,host_forensics,process,f.exe C2 lineage,3.0,37301,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/acquisition_actions.json,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/motif_report.json
C10-darpa-optc-sysclient0351-0925,C10-AA-003,COST-F204F3CD6FEC,ttp_local_probe,host_probe,file,Notepad++ updater drop of Temp\f.exe,2.0,37301,2,0.001,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/acquisition_actions.json,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/motif_report.json
C10-darpa-optc-sysclient0351-0925,C10-AA-004,COST-8974ADB9295F,query_host_subgraph,host_forensics,process,Temp\f.exe PID 1932 creation,2.0,37301,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/acquisition_actions.json,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/motif_report.json
C10-darpa-optc-sysclient0351-0925,C10-AA-005,COST-ED2059E0334D,query_host_subgraph,host_forensics,thread,remote thread from f.exe PID 1932 to lwabeat PID 1256,3.0,37301,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/acquisition_actions.json,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/motif_report.json
C10-darpa-optc-sysclient0351-0925,C10-AA-006,COST-C0A98C43B8E4,human_review,analyst,process,python.exe multicast flow to 225.0.0.1:5000,2.0,37301,899,898.338,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/acquisition_actions.json,09-experiments/real_cases/C10-darpa-optc-sysclient0351-0925/motif_report.json
C11-otrf-apt29-day1-scranton-nashua,C11-AA-001,COST-2C967A7FBDF9,extend_log_window,scranton_powershell,host,SCRANTON PowerShell logs,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/acquisition_actions.json,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/motif_report.json
C11-otrf-apt29-day1-scranton-nashua,C11-AA-002,COST-598D1E58A0FF,query_host_subgraph,scranton_sysmon,host,SCRANTON Sysmon records,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/acquisition_actions.json,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/motif_report.json
C11-otrf-apt29-day1-scranton-nashua,C11-AA-003,COST-7F825033CDEC,query_host_subgraph,scranton_security,host,SCRANTON Security process records,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/acquisition_actions.json,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/motif_report.json
C11-otrf-apt29-day1-scranton-nashua,C11-AA-004,COST-46B8CD15FA18,extend_log_window,nashua_powershell,host,NASHUA PowerShell logs,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/acquisition_actions.json,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/motif_report.json
C11-otrf-apt29-day1-scranton-nashua,C11-AA-005,COST-975F7A83F8D0,query_host_subgraph,nashua_sysmon,host,NASHUA Sysmon records,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/acquisition_actions.json,09-experiments/real_cases/C11-otrf-apt29-day1-scranton-nashua/motif_report.json
C12-witfoo-precinct6-f10c7270,C12-AA-001,COST-882B85A39A8C,recover_network_summary,asa_summary,time_window,ASA blocked-connection summary for the frozen incident window,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/acquisition_actions.json,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/motif_report.json
C12-witfoo-precinct6-f10c7270,C12-AA-002,COST-8AF9544E370B,ttp_local_probe,asa_targeted_probe,technique,targeted service-access observation around destination port 445,1.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/acquisition_actions.json,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/motif_report.json
C12-witfoo-precinct6-f10c7270,C12-AA-003,COST-F4A14122F127,query_host_subgraph,windows_security_audit,host,Windows Security 4672 observations in the frozen incident,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/acquisition_actions.json,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/motif_report.json
C12-witfoo-precinct6-f10c7270,C12-AA-004,COST-4454F0CDCD1F,human_review,precinct_projection_review,case,f10c7270-1228-11ed-99ed-adca11e4059c,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/acquisition_actions.json,09-experiments/real_cases/C12-witfoo-precinct6-f10c7270/motif_report.json
