case_id,action_id,action_type,acquisition_channel,trial_id,analyst_minutes,machine_seconds,bytes_scanned,records_scanned,host_count,retention_window_days,authorization_tier_0_3,perturbation_tier_0_3,measurement_notes
C04-darpa-e3-fivedirections,C04-AA-004,ttp_local_probe,host_probe,,,,,,,,,,
C04-darpa-e3-fivedirections,C04-AA-005,query_host_subgraph,host_forensics,,,,,,,,,,
C04-darpa-e3-fivedirections,C04-AA-006,cti_report_lookup,threat_intel,,,,,,,,,,
C05-darpa-e3-cadets,C05-AA-001,extend_log_window,log_retention,,,,,,,,,,
C05-darpa-e3-cadets,C05-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C05-darpa-e3-cadets,C05-AA-003,recover_network_summary,network_telemetry,,,,,,,,,,
C05-darpa-e3-cadets,C05-AA-004,ttp_local_probe,host_probe,,,,,,,,,,
C05-darpa-e3-cadets,C05-AA-005,human_review,analyst,,,,,,,,,,
C05-darpa-e3-cadets,C05-AA-006,ioc_enrichment,threat_intel,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-001,extend_log_window,log_retention,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-003,recover_network_summary,network_telemetry,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-004,query_host_subgraph,host_forensics,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-005,recover_network_summary,network_telemetry,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-006,ttp_local_probe,host_probe,,,,,,,,,,
C06-darpa-e3-cadets-0412,C06-AA-007,query_host_subgraph,host_forensics,,,,,,,,,,
C07-darpa-e5-theia-0515,C07-AA-001,recover_network_summary,network_telemetry,,,,,,,,,,
C07-darpa-e5-theia-0515,C07-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C07-darpa-e5-theia-0515,C07-AA-003,ttp_local_probe,host_probe,,,,,,,,,,
C07-darpa-e5-theia-0515,C07-AA-004,query_host_subgraph,host_forensics,,,,,,,,,,
C07-darpa-e5-theia-0515,C07-AA-005,human_review,analyst,,,,,,,,,,
C08-darpa-e5-clearscope-0515,C08-AA-001,recover_network_summary,network_telemetry,,,,,,,,,,
C08-darpa-e5-clearscope-0515,C08-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C08-darpa-e5-clearscope-0515,C08-AA-003,ttp_local_probe,host_probe,,,,,,,,,,
C08-darpa-e5-clearscope-0515,C08-AA-004,query_host_subgraph,host_forensics,,,,,,,,,,
C08-darpa-e5-clearscope-0515,C08-AA-005,human_review,analyst,,,,,,,,,,
C09-darpa-optc-sysclient0201-0923,C09-AA-001,recover_network_summary,network_telemetry,,,,,,,,,,
C09-darpa-optc-sysclient0201-0923,C09-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C09-darpa-optc-sysclient0201-0923,C09-AA-003,ttp_local_probe,host_probe,,,,,,,,,,
C09-darpa-optc-sysclient0201-0923,C09-AA-004,query_host_subgraph,host_forensics,,,,,,,,,,
C09-darpa-optc-sysclient0201-0923,C09-AA-005,query_host_subgraph,host_forensics,,,,,,,,,,
C09-darpa-optc-sysclient0201-0923,C09-AA-006,human_review,analyst,,,,,,,,,,
C10-darpa-optc-sysclient0351-0925,C10-AA-001,recover_network_summary,network_telemetry,,,,,,,,,,
C10-darpa-optc-sysclient0351-0925,C10-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C10-darpa-optc-sysclient0351-0925,C10-AA-003,ttp_local_probe,host_probe,,,,,,,,,,
C10-darpa-optc-sysclient0351-0925,C10-AA-004,query_host_subgraph,host_forensics,,,,,,,,,,
C10-darpa-optc-sysclient0351-0925,C10-AA-005,query_host_subgraph,host_forensics,,,,,,,,,,
C10-darpa-optc-sysclient0351-0925,C10-AA-006,human_review,analyst,,,,,,,,,,
C11-otrf-apt29-day1-scranton-nashua,C11-AA-001,extend_log_window,scranton_powershell,,,,,,,,,,
C11-otrf-apt29-day1-scranton-nashua,C11-AA-002,query_host_subgraph,scranton_sysmon,,,,,,,,,,
C11-otrf-apt29-day1-scranton-nashua,C11-AA-003,query_host_subgraph,scranton_security,,,,,,,,,,
C11-otrf-apt29-day1-scranton-nashua,C11-AA-004,extend_log_window,nashua_powershell,,,,,,,,,,
C11-otrf-apt29-day1-scranton-nashua,C11-AA-005,query_host_subgraph,nashua_sysmon,,,,,,,,,,
C12-witfoo-precinct6-f10c7270,C12-AA-001,recover_network_summary,asa_summary,,,,,,,,,,
C12-witfoo-precinct6-f10c7270,C12-AA-002,ttp_local_probe,asa_targeted_probe,,,,,,,,,,
C12-witfoo-precinct6-f10c7270,C12-AA-003,query_host_subgraph,windows_security_audit,,,,,,,,,,
C12-witfoo-precinct6-f10c7270,C12-AA-004,human_review,precinct_projection_review,,,,,,,,,,
