schedule_id,scheduled_run_index,phase_run_index,phase,attempt_round,block_id,block_position,case_id,action_id,action_type,planned_planner_decision_id,planned_execution_attempt_id,assignment_status,machine_id,cache_state,executor_id,execution_date,environment_id,initial_state_id
project05-operational-cost-minimum-coverage-schedule-v0.3,16,16,calibration,1,calibration-round-01,16,C01,C01-AA-005,query_host_subgraph,decision--C01--C01-AA-005--r01,attempt--C01--C01-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,17,17,calibration,1,calibration-round-01,17,C01,C01-AA-002,recover_network_summary,decision--C01--C01-AA-002--r01,attempt--C01--C01-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,18,18,calibration,1,calibration-round-01,18,C03,C03-AA-005,recover_network_summary,decision--C03--C03-AA-005--r01,attempt--C03--C03-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,19,19,calibration,1,calibration-round-01,19,C02,C02-AA-001,extend_log_window,decision--C02--C02-AA-001--r01,attempt--C02--C02-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,20,20,calibration,2,calibration-round-02,1,C02,C02-AA-003,recover_network_summary,decision--C02--C02-AA-003--r02,attempt--C02--C02-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,21,21,calibration,2,calibration-round-02,2,C03,C03-AA-007,query_host_subgraph,decision--C03--C03-AA-007--r02,attempt--C03--C03-AA-007--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,22,22,calibration,2,calibration-round-02,3,C02,C02-AA-002,query_host_subgraph,decision--C02--C02-AA-002--r02,attempt--C02--C02-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,23,23,calibration,2,calibration-round-02,4,C02,C02-AA-005,human_review,decision--C02--C02-AA-005--r02,attempt--C02--C02-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,24,24,calibration,2,calibration-round-02,5,C01,C01-AA-006,cti_report_lookup,decision--C01--C01-AA-006--r02,attempt--C01--C01-AA-006--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,25,25,calibration,2,calibration-round-02,6,C03,C03-AA-003,recover_network_summary,decision--C03--C03-AA-003--r02,attempt--C03--C03-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,26,26,calibration,2,calibration-round-02,7,C03,C03-AA-006,ttp_local_probe,decision--C03--C03-AA-006--r02,attempt--C03--C03-AA-006--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,27,27,calibration,2,calibration-round-02,8,C01,C01-AA-004,ttp_local_probe,decision--C01--C01-AA-004--r02,attempt--C01--C01-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,28,28,calibration,2,calibration-round-02,9,C03,C03-AA-002,query_host_subgraph,decision--C03--C03-AA-002--r02,attempt--C03--C03-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,29,29,calibration,2,calibration-round-02,10,C03,C03-AA-005,recover_network_summary,decision--C03--C03-AA-005--r02,attempt--C03--C03-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,30,30,calibration,2,calibration-round-02,11,C02,C02-AA-001,extend_log_window,decision--C02--C02-AA-001--r02,attempt--C02--C02-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,31,31,calibration,2,calibration-round-02,12,C01,C01-AA-003,query_host_subgraph,decision--C01--C01-AA-003--r02,attempt--C01--C01-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,32,32,calibration,2,calibration-round-02,13,C01,C01-AA-001,extend_log_window,decision--C01--C01-AA-001--r02,attempt--C01--C01-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,33,33,calibration,2,calibration-round-02,14,C01,C01-AA-005,query_host_subgraph,decision--C01--C01-AA-005--r02,attempt--C01--C01-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,34,34,calibration,2,calibration-round-02,15,C02,C02-AA-006,ioc_enrichment,decision--C02--C02-AA-006--r02,attempt--C02--C02-AA-006--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,35,35,calibration,2,calibration-round-02,16,C03,C03-AA-001,extend_log_window,decision--C03--C03-AA-001--r02,attempt--C03--C03-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,36,36,calibration,2,calibration-round-02,17,C02,C02-AA-004,ttp_local_probe,decision--C02--C02-AA-004--r02,attempt--C02--C02-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,37,37,calibration,2,calibration-round-02,18,C03,C03-AA-004,query_host_subgraph,decision--C03--C03-AA-004--r02,attempt--C03--C03-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,38,38,calibration,2,calibration-round-02,19,C01,C01-AA-002,recover_network_summary,decision--C01--C01-AA-002--r02,attempt--C01--C01-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,39,39,calibration,3,calibration-round-03,1,C01,C01-AA-006,cti_report_lookup,decision--C01--C01-AA-006--r03,attempt--C01--C01-AA-006--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,40,40,calibration,3,calibration-round-03,2,C01,C01-AA-004,ttp_local_probe,decision--C01--C01-AA-004--r03,attempt--C01--C01-AA-004--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,41,41,calibration,3,calibration-round-03,3,C02,C02-AA-003,recover_network_summary,decision--C02--C02-AA-003--r03,attempt--C02--C02-AA-003--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,42,42,calibration,3,calibration-round-03,4,C03,C03-AA-001,extend_log_window,decision--C03--C03-AA-001--r03,attempt--C03--C03-AA-001--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,43,43,calibration,3,calibration-round-03,5,C02,C02-AA-006,ioc_enrichment,decision--C02--C02-AA-006--r03,attempt--C02--C02-AA-006--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,44,44,calibration,3,calibration-round-03,6,C02,C02-AA-005,human_review,decision--C02--C02-AA-005--r03,attempt--C02--C02-AA-005--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,45,45,calibration,3,calibration-round-03,7,C01,C01-AA-003,query_host_subgraph,decision--C01--C01-AA-003--r03,attempt--C01--C01-AA-003--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,46,46,calibration,3,calibration-round-03,8,C03,C03-AA-002,query_host_subgraph,decision--C03--C03-AA-002--r03,attempt--C03--C03-AA-002--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,47,47,calibration,3,calibration-round-03,9,C03,C03-AA-004,query_host_subgraph,decision--C03--C03-AA-004--r03,attempt--C03--C03-AA-004--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,48,48,calibration,3,calibration-round-03,10,C01,C01-AA-002,recover_network_summary,decision--C01--C01-AA-002--r03,attempt--C01--C01-AA-002--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,49,49,calibration,3,calibration-round-03,11,C03,C03-AA-007,query_host_subgraph,decision--C03--C03-AA-007--r03,attempt--C03--C03-AA-007--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,50,50,calibration,3,calibration-round-03,12,C03,C03-AA-005,recover_network_summary,decision--C03--C03-AA-005--r03,attempt--C03--C03-AA-005--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,51,51,calibration,3,calibration-round-03,13,C01,C01-AA-001,extend_log_window,decision--C01--C01-AA-001--r03,attempt--C01--C01-AA-001--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,52,52,calibration,3,calibration-round-03,14,C01,C01-AA-005,query_host_subgraph,decision--C01--C01-AA-005--r03,attempt--C01--C01-AA-005--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,53,53,calibration,3,calibration-round-03,15,C02,C02-AA-002,query_host_subgraph,decision--C02--C02-AA-002--r03,attempt--C02--C02-AA-002--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,54,54,calibration,3,calibration-round-03,16,C03,C03-AA-006,ttp_local_probe,decision--C03--C03-AA-006--r03,attempt--C03--C03-AA-006--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,55,55,calibration,3,calibration-round-03,17,C02,C02-AA-001,extend_log_window,decision--C02--C02-AA-001--r03,attempt--C02--C02-AA-001--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,56,56,calibration,3,calibration-round-03,18,C02,C02-AA-004,ttp_local_probe,decision--C02--C02-AA-004--r03,attempt--C02--C02-AA-004--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,57,57,calibration,3,calibration-round-03,19,C03,C03-AA-003,recover_network_summary,decision--C03--C03-AA-003--r03,attempt--C03--C03-AA-003--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,58,1,development,1,development-round-01,1,C04,C04-AA-005,human_review,decision--C04--C04-AA-005--r01,attempt--C04--C04-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,59,2,development,1,development-round-01,2,C05,C05-AA-001,recover_network_summary,decision--C05--C05-AA-001--r01,attempt--C05--C05-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,60,3,development,1,development-round-01,3,C09,C09-AA-002,ttp_local_probe,decision--C09--C09-AA-002--r01,attempt--C09--C09-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,61,4,development,1,development-round-01,4,C04,C04-AA-003,ttp_local_probe,decision--C04--C04-AA-003--r01,attempt--C04--C04-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,62,5,development,1,development-round-01,5,C05,C05-AA-004,query_host_subgraph,decision--C05--C05-AA-004--r01,attempt--C05--C05-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,63,6,development,1,development-round-01,6,C04,C04-AA-004,query_host_subgraph,decision--C04--C04-AA-004--r01,attempt--C04--C04-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,64,7,development,1,development-round-01,7,C07,C07-AA-005,query_host_subgraph,decision--C07--C07-AA-005--r01,attempt--C07--C07-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,65,8,development,1,development-round-01,8,C09,C09-AA-003,query_host_subgraph,decision--C09--C09-AA-003--r01,attempt--C09--C09-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,66,9,development,1,development-round-01,9,C07,C07-AA-004,query_host_subgraph,decision--C07--C07-AA-004--r01,attempt--C07--C07-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,67,10,development,1,development-round-01,10,C05,C05-AA-005,human_review,decision--C05--C05-AA-005--r01,attempt--C05--C05-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,68,11,development,1,development-round-01,11,C08,C08-AA-004,extend_log_window,decision--C08--C08-AA-004--r01,attempt--C08--C08-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,69,12,development,1,development-round-01,12,C08,C08-AA-005,query_host_subgraph,decision--C08--C08-AA-005--r01,attempt--C08--C08-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,70,13,development,1,development-round-01,13,C08,C08-AA-002,query_host_subgraph,decision--C08--C08-AA-002--r01,attempt--C08--C08-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,71,14,development,1,development-round-01,14,C07,C07-AA-006,human_review,decision--C07--C07-AA-006--r01,attempt--C07--C07-AA-006--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,72,15,development,1,development-round-01,15,C09,C09-AA-001,recover_network_summary,decision--C09--C09-AA-001--r01,attempt--C09--C09-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,73,16,development,1,development-round-01,16,C05,C05-AA-003,ttp_local_probe,decision--C05--C05-AA-003--r01,attempt--C05--C05-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,74,17,development,1,development-round-01,17,C06,C06-AA-003,ttp_local_probe,decision--C06--C06-AA-003--r01,attempt--C06--C06-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,75,18,development,1,development-round-01,18,C08,C08-AA-003,query_host_subgraph,decision--C08--C08-AA-003--r01,attempt--C08--C08-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,76,19,development,1,development-round-01,19,C05,C05-AA-002,query_host_subgraph,decision--C05--C05-AA-002--r01,attempt--C05--C05-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,77,20,development,1,development-round-01,20,C04,C04-AA-001,recover_network_summary,decision--C04--C04-AA-001--r01,attempt--C04--C04-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,78,21,development,1,development-round-01,21,C06,C06-AA-006,human_review,decision--C06--C06-AA-006--r01,attempt--C06--C06-AA-006--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,79,22,development,1,development-round-01,22,C08,C08-AA-001,extend_log_window,decision--C08--C08-AA-001--r01,attempt--C08--C08-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,80,23,development,1,development-round-01,23,C07,C07-AA-001,recover_network_summary,decision--C07--C07-AA-001--r01,attempt--C07--C07-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,81,24,development,1,development-round-01,24,C06,C06-AA-002,query_host_subgraph,decision--C06--C06-AA-002--r01,attempt--C06--C06-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,82,25,development,1,development-round-01,25,C07,C07-AA-003,ttp_local_probe,decision--C07--C07-AA-003--r01,attempt--C07--C07-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,83,26,development,1,development-round-01,26,C06,C06-AA-001,recover_network_summary,decision--C06--C06-AA-001--r01,attempt--C06--C06-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,84,27,development,1,development-round-01,27,C04,C04-AA-002,query_host_subgraph,decision--C04--C04-AA-002--r01,attempt--C04--C04-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,85,28,development,1,development-round-01,28,C06,C06-AA-005,query_host_subgraph,decision--C06--C06-AA-005--r01,attempt--C06--C06-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,86,29,development,1,development-round-01,29,C07,C07-AA-002,query_host_subgraph,decision--C07--C07-AA-002--r01,attempt--C07--C07-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,87,30,development,1,development-round-01,30,C09,C09-AA-004,human_review,decision--C09--C09-AA-004--r01,attempt--C09--C09-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,88,31,development,1,development-round-01,31,C06,C06-AA-004,query_host_subgraph,decision--C06--C06-AA-004--r01,attempt--C06--C06-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,89,32,development,2,development-round-02,1,C05,C05-AA-001,recover_network_summary,decision--C05--C05-AA-001--r02,attempt--C05--C05-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,90,33,development,2,development-round-02,2,C06,C06-AA-003,ttp_local_probe,decision--C06--C06-AA-003--r02,attempt--C06--C06-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,91,34,development,2,development-round-02,3,C08,C08-AA-002,query_host_subgraph,decision--C08--C08-AA-002--r02,attempt--C08--C08-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,92,35,development,2,development-round-02,4,C06,C06-AA-006,human_review,decision--C06--C06-AA-006--r02,attempt--C06--C06-AA-006--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,93,36,development,2,development-round-02,5,C04,C04-AA-003,ttp_local_probe,decision--C04--C04-AA-003--r02,attempt--C04--C04-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,94,37,development,2,development-round-02,6,C08,C08-AA-001,extend_log_window,decision--C08--C08-AA-001--r02,attempt--C08--C08-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,95,38,development,2,development-round-02,7,C06,C06-AA-002,query_host_subgraph,decision--C06--C06-AA-002--r02,attempt--C06--C06-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,96,39,development,2,development-round-02,8,C05,C05-AA-004,query_host_subgraph,decision--C05--C05-AA-004--r02,attempt--C05--C05-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,97,40,development,2,development-round-02,9,C04,C04-AA-002,query_host_subgraph,decision--C04--C04-AA-002--r02,attempt--C04--C04-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,98,41,development,2,development-round-02,10,C07,C07-AA-004,query_host_subgraph,decision--C07--C07-AA-004--r02,attempt--C07--C07-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,99,42,development,2,development-round-02,11,C09,C09-AA-003,query_host_subgraph,decision--C09--C09-AA-003--r02,attempt--C09--C09-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,100,43,development,2,development-round-02,12,C07,C07-AA-006,human_review,decision--C07--C07-AA-006--r02,attempt--C07--C07-AA-006--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,101,44,development,2,development-round-02,13,C07,C07-AA-003,ttp_local_probe,decision--C07--C07-AA-003--r02,attempt--C07--C07-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,102,45,development,2,development-round-02,14,C08,C08-AA-003,query_host_subgraph,decision--C08--C08-AA-003--r02,attempt--C08--C08-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,103,46,development,2,development-round-02,15,C06,C06-AA-001,recover_network_summary,decision--C06--C06-AA-001--r02,attempt--C06--C06-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,104,47,development,2,development-round-02,16,C08,C08-AA-004,extend_log_window,decision--C08--C08-AA-004--r02,attempt--C08--C08-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,105,48,development,2,development-round-02,17,C06,C06-AA-005,query_host_subgraph,decision--C06--C06-AA-005--r02,attempt--C06--C06-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,106,49,development,2,development-round-02,18,C05,C05-AA-005,human_review,decision--C05--C05-AA-005--r02,attempt--C05--C05-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,107,50,development,2,development-round-02,19,C07,C07-AA-005,query_host_subgraph,decision--C07--C07-AA-005--r02,attempt--C07--C07-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,108,51,development,2,development-round-02,20,C09,C09-AA-002,ttp_local_probe,decision--C09--C09-AA-002--r02,attempt--C09--C09-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,109,52,development,2,development-round-02,21,C04,C04-AA-005,human_review,decision--C04--C04-AA-005--r02,attempt--C04--C04-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,110,53,development,2,development-round-02,22,C05,C05-AA-002,query_host_subgraph,decision--C05--C05-AA-002--r02,attempt--C05--C05-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,111,54,development,2,development-round-02,23,C04,C04-AA-004,query_host_subgraph,decision--C04--C04-AA-004--r02,attempt--C04--C04-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,112,55,development,2,development-round-02,24,C09,C09-AA-001,recover_network_summary,decision--C09--C09-AA-001--r02,attempt--C09--C09-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,113,56,development,2,development-round-02,25,C06,C06-AA-004,query_host_subgraph,decision--C06--C06-AA-004--r02,attempt--C06--C06-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,114,57,development,2,development-round-02,26,C07,C07-AA-001,recover_network_summary,decision--C07--C07-AA-001--r02,attempt--C07--C07-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,115,58,development,2,development-round-02,27,C04,C04-AA-001,recover_network_summary,decision--C04--C04-AA-001--r02,attempt--C04--C04-AA-001--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,116,59,development,2,development-round-02,28,C05,C05-AA-003,ttp_local_probe,decision--C05--C05-AA-003--r02,attempt--C05--C05-AA-003--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,117,60,development,2,development-round-02,29,C08,C08-AA-005,query_host_subgraph,decision--C08--C08-AA-005--r02,attempt--C08--C08-AA-005--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,118,61,development,2,development-round-02,30,C07,C07-AA-002,query_host_subgraph,decision--C07--C07-AA-002--r02,attempt--C07--C07-AA-002--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,119,62,development,2,development-round-02,31,C09,C09-AA-004,human_review,decision--C09--C09-AA-004--r02,attempt--C09--C09-AA-004--r02,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,120,63,development,3,development-round-03,1,C04,C04-AA-003,ttp_local_probe,decision--C04--C04-AA-003--r03,attempt--C04--C04-AA-003--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,121,64,development,3,development-round-03,2,C09,C09-AA-004,human_review,decision--C09--C09-AA-004--r03,attempt--C09--C09-AA-004--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,122,65,development,3,development-round-03,3,C04,C04-AA-002,query_host_subgraph,decision--C04--C04-AA-002--r03,attempt--C04--C04-AA-002--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,123,66,development,3,development-round-03,4,C06,C06-AA-003,ttp_local_probe,decision--C06--C06-AA-003--r03,attempt--C06--C06-AA-003--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,124,67,development,3,development-round-03,5,C04,C04-AA-004,query_host_subgraph,decision--C04--C04-AA-004--r03,attempt--C04--C04-AA-004--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,125,68,development,3,development-round-03,6,C06,C06-AA-002,query_host_subgraph,decision--C06--C06-AA-002--r03,attempt--C06--C06-AA-002--r03,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,126,69,development,3,development-round-03,7,C09,C09-AA-002,ttp_local_probe,decision--C09--C09-AA-002--r03,attempt--C09--C09-AA-002--r03,unassigned,,,,,,
