"title","year","doi","openalex","cited_by_count","query_hits","matched_queries"
"Cybersecurity knowledge graphs","2023","https://doi.org/10.1007/s10115-023-01860-3","https://openalex.org/W4367367976","82","2","large language model attack graph cybersecurity | large language model provenance graph cybersecurity"
"A Comprehensive Survey on Process-Oriented Automatic Text Summarization with Exploration of LLM-Based Methods","2024","https://doi.org/10.48550/arxiv.2403.02901","https://openalex.org/W4392538467","32","2","LLM provenance graph construction from logs | LLM security log parsing semantic normalization"
"A Survey on LLM-Generated Text Detection: Necessity, Methods, and Future Directions","2023","https://doi.org/10.48550/arxiv.2310.14724","https://openalex.org/W4387946871","30","2","LLM APT provenance graph | LLM provenance graph construction from logs"
"Applications of LLMs for Generating Cyber Security Exercise Scenarios","2024","https://doi.org/10.21203/rs.3.rs-3970015/v1","https://openalex.org/W4392165522","27","2","LLM grounded cyber threat intelligence source attribution | LLM security log parsing semantic normalization"
"The Role of LLMs in Sustainable Smart Cities: Applications, Challenges, and Future Directions","2024","https://doi.org/10.48550/arxiv.2402.14596","https://openalex.org/W4392120948","20","2","cyber investigation planner provenance graph evidence acquisition cost | LLM provenance graph construction from logs"
"Time for aCTIon: Automated Analysis of Cyber Threat Intelligence in the Wild","2023","https://doi.org/10.48550/arxiv.2307.10214","https://openalex.org/W4385015260","12","2","LLM CTI entity relation extraction STIX | LLM grounded cyber threat intelligence source attribution"
"LLM for Mobile: An Initial Roadmap","2024","https://doi.org/10.1145/3708528","https://openalex.org/W4405640587","10","2","LLM provenance graph construction from logs | LLM security log parsing semantic normalization"
"CTIBench: A Benchmark for Evaluating LLMs in Cyber Threat Intelligence","2024","https://doi.org/10.48550/arxiv.2406.07599","https://openalex.org/W4399694351","8","2","LLM grounded cyber threat intelligence source attribution | SEVENLLM cyber threat intelligence"
"AIOps for log anomaly detection in the era of LLMs: A systematic literature review","2025","https://doi.org/10.1016/j.iswa.2025.200608","https://openalex.org/W4416426157","5","2","LLM security log parsing semantic normalization | LLM telemetry knowledge graph cybersecurity"
"A zero-shot self-improving NER method for cyber threat intelligence via knowledge injection","2025","https://doi.org/10.1186/s42400-025-00503-0","https://openalex.org/W4417345320","5","2","LLM CTI entity relation extraction STIX | SEVENLLM cyber threat intelligence"
"AGLHunter: Automated Threat Hunting Using In-Context Learning-Enhanced LLM","2025","https://doi.org/10.1109/cscwd64889.2025.11033364","https://openalex.org/W4411552033","4","2","LLM APT provenance graph | LLM provenance graph construction from logs"
"Tweezers: A Framework for Security Event Detection via Event Attribution-centric Tweet Embedding","2025","https://doi.org/10.14722/ndss.2025.230139","https://openalex.org/W4408750115","1","2","LLM CTI entity relation extraction STIX | LLM threat hunting provenance graph action planning"
"CTIConnect: A Benchmark for Retrieval-Augmented LLMs over Heterogeneous Cyber Threat Intelligence","2025","https://doi.org/10.48550/arxiv.2510.11974","https://openalex.org/W4415257529","1","2","LLM CTI entity relation extraction STIX | SEVENLLM cyber threat intelligence"
"Tweezers: A Framework for Security Event Detection via Event Attribution-centric Tweet Embedding","2024","https://doi.org/10.48550/arxiv.2409.08221","https://openalex.org/W4403663969","1","2","LLM CTI entity relation extraction STIX | LLM threat hunting provenance graph action planning"
"Minerva: Reinforcement Learning with Verifiable Rewards for Cyber Threat Intelligence LLMs","2026",,"https://openalex.org/W7127542649","0","2","LLM CTI entity relation extraction STIX | SEVENLLM cyber threat intelligence"
"KGAgent4CTI: unlocking the power of LLM in threat intelligence","2026","https://doi.org/10.1186/s42400-025-00458-2","https://openalex.org/W7160296052","0","2","LLM CTI entity relation extraction STIX | LLM threat hunting provenance graph action planning"
"Canu: scalable and accurate long-read assembly via adaptive <i>k</i> -mer weighting and repeat separation","2017","https://doi.org/10.1101/gr.215087.116","https://openalex.org/W2950354111","8240","1","large language model security logs graph"
"A relational model of data for large shared data banks","1970","https://doi.org/10.1145/362384.362685","https://openalex.org/W2185907055","5247","1","large language model security logs graph"
"Machine Learning: Algorithms, Real-World Applications and Research Directions","2021","https://doi.org/10.1007/s42979-021-00592-x","https://openalex.org/W3135028703","5200","1","large language model attack graph cybersecurity"
"A survey of methods for explaining black box models","2019","https://doi.org/10.1145/3236009","https://openalex.org/W2962772482","4801","1","large language model security logs graph"
"Large language models encode clinical knowledge","2023","https://doi.org/10.1038/s41586-023-06291-2","https://openalex.org/W4384071683","3332","1","large language model security logs graph"
"The Internet of Things for Health Care: A Comprehensive Survey","2015","https://doi.org/10.1109/access.2015.2437951","https://openalex.org/W1943579973","3025","1","large language model cyber threat intelligence knowledge graph"
"GPT-4 Technical Report","2023","https://doi.org/10.4230/lipics.cosit.2024.11","https://openalex.org/W4327810158","2405","1","large language model attack graph cybersecurity"
"Semantic Similarity in a Taxonomy: An Information-Based Measure and its Application to Problems of Ambiguity in Natural Language","1999","https://doi.org/10.1613/jair.514","https://openalex.org/W1659833910","2089","1","large language model security logs graph"
"Sparks of Artificial General Intelligence: Early experiments with GPT-4","2023","https://doi.org/10.48550/arxiv.2303.12712","https://openalex.org/W4360836968","1556","1","LLM security log parsing semantic normalization"
"Large-scale cluster management at Google with Borg","2015","https://doi.org/10.1145/2741948.2741964","https://openalex.org/W2141992894","1358","1","large language model security logs graph"
"A survey on large language model based autonomous agents","2024","https://doi.org/10.1007/s11704-024-40231-1","https://openalex.org/W4393065402","1250","1","large language model security logs graph"
"Flamingo: a Visual Language Model for Few-Shot Learning","2022","https://doi.org/10.48550/arxiv.2204.14198","https://openalex.org/W4225323055","1244","1","large language model security logs graph"
"AI-Based Modeling: Techniques, Applications and Research Issues Towards Automation, Intelligent and Smart Systems","2022","https://doi.org/10.1007/s42979-022-01043-x","https://openalex.org/W4225716729","1107","1","large language model attack graph cybersecurity"
"A graph-based system for network-vulnerability analysis","1998","https://doi.org/10.1145/310889.310919","https://openalex.org/W2083658929","802","1","large language model security logs graph"
"Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT","2023","https://doi.org/10.1111/1748-8583.12524","https://openalex.org/W4383913712","784","1","LLM grounded cyber threat intelligence source attribution"
"Cyber security in the age of COVID-19: A timeline and analysis of cyber-crime and cyber-attacks during the pandemic","2021","https://doi.org/10.1016/j.cose.2021.102248","https://openalex.org/W3036035276","666","1","large language model attack graph cybersecurity"
"Industrial Artificial Intelligence in Industry 4.0 - Systematic Review, Challenges and Outlook","2020","https://doi.org/10.1109/access.2020.3042874","https://openalex.org/W3111221273","660","1","large language model cyber threat intelligence knowledge graph"
"The Security of Triple Encryption and a Framework for Code-Based Game-Playing Proofs","2006","https://doi.org/10.1007/11761679_25","https://openalex.org/W2167606175","649","1","large language model security logs graph"
"A review of cyber security risk assessment methods for SCADA systems","2015","https://doi.org/10.1016/j.cose.2015.09.009","https://openalex.org/W2131060714","589","1","large language model cyber threat intelligence knowledge graph"
"Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models","2022","https://doi.org/10.48550/arxiv.2206.04615","https://openalex.org/W4281690148","549","1","large language model security logs graph"
"A Survey on Machine Learning Techniques for Cyber Security in the Last Decade","2020","https://doi.org/10.1109/access.2020.3041951","https://openalex.org/W3108671495","515","1","large language model cyber threat intelligence knowledge graph"
"Can Open Large Language Models Catch Vulnerabilities?","2025","https://doi.org/10.4230/oasics.icpec.2025.4","https://openalex.org/W4406779522","510","1","large language model security logs graph"
"Explainable Artificial Intelligence (XAI) 2.0: A manifesto of open challenges and interdisciplinary research directions","2024","https://doi.org/10.1016/j.inffus.2024.102301","https://openalex.org/W4391848979","495","1","LLM grounded cyber threat intelligence source attribution"
"The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective","2023","https://doi.org/10.1007/s11846-023-00696-z","https://openalex.org/W4386711999","418","1","LLM grounded cyber threat intelligence source attribution"
"Fog computing security: a review of current applications and security solutions","2017","https://doi.org/10.1186/s13677-017-0090-3","https://openalex.org/W2747548784","410","1","large language model security logs graph"
"Enriching Location Representation with Detailed Semantic Information","2024","https://doi.org/10.4230/lipics.giscience.2025.3","https://openalex.org/W4401306886","403","1","LLM security log parsing semantic normalization"
"Explainable Artificial Intelligence Applications in Cyber Security: State-of-the-Art in Research","2022","https://doi.org/10.1109/access.2022.3204051","https://openalex.org/W4295854586","394","1","large language model cyber threat intelligence knowledge graph"
"Detecting Cybersecurity Attacks in Internet of Things Using Artificial Intelligence Methods: A Systematic Literature Review","2022","https://doi.org/10.3390/electronics11020198","https://openalex.org/W4206713037","350","1","large language model attack graph cybersecurity"
"The Robots Are Here: Navigating the Generative AI Revolution in Computing Education","2023","https://doi.org/10.1145/3623762.3633499","https://openalex.org/W4390315357","336","1","LLM APT provenance graph"
"Cyber risk and cybersecurity: a systematic review of data availability","2022","https://doi.org/10.1057/s41288-022-00266-6","https://openalex.org/W4213292645","332","1","large language model attack graph cybersecurity"
"A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions","2023","https://doi.org/10.1109/ojcs.2023.3300321","https://openalex.org/W4385469325","332","1","LLM grounded cyber threat intelligence source attribution"
"The ethics of ChatGPT in medicine and healthcare: a systematic review on Large Language Models (LLMs)","2024","https://doi.org/10.1038/s41746-024-01157-x","https://openalex.org/W4393119065","326","1","LLM grounded cyber threat intelligence source attribution"
"A Critical Cybersecurity Analysis and Future Research Directions for the Internet of Things: A Comprehensive Review","2023","https://doi.org/10.3390/s23084117","https://openalex.org/W4366590727","309","1","large language model attack graph cybersecurity"
"Harnessing Artificial Intelligence Capabilities to Improve Cybersecurity","2020","https://doi.org/10.1109/access.2020.2968045","https://openalex.org/W3001275383","308","1","large language model attack graph cybersecurity"
"BloombergGPT: A Large Language Model for Finance","2023","https://doi.org/10.48550/arxiv.2303.17564","https://openalex.org/W4361866125","304","1","large language model security logs graph"
"Digital Transformation and Cybersecurity Challenges for Businesses Resilience: Issues and Recommendations","2023","https://doi.org/10.3390/s23156666","https://openalex.org/W4385274673","298","1","large language model attack graph cybersecurity"
"Secure and Provenance Enhanced Internet of Health Things Framework: A Blockchain Managed Federated Learning Approach","2020","https://doi.org/10.1109/access.2020.3037474","https://openalex.org/W3099128725","291","1","large language model provenance graph cybersecurity"
"Red Teaming Language Models with Language Models","2022","https://doi.org/10.18653/v1/2022.emnlp-main.225","https://openalex.org/W4385894687","279","1","large language model security logs graph"
"POIROT","2019","https://doi.org/10.1145/3319535.3363217","https://openalex.org/W2978956219","265","1","large language model provenance graph cybersecurity"
"Multimodal Large Language Models in Health Care: Applications, Challenges, and Future Outlook","2024","https://doi.org/10.2196/59505","https://openalex.org/W4402155831","261","1","large language model attack graph cybersecurity"
"The Rise and Potential of Large Language Model Based Agents: A Survey","2023","https://doi.org/10.48550/arxiv.2309.07864","https://openalex.org/W4386794445","254","1","large language model attack graph cybersecurity"
"The Role of Machine Learning in Cybersecurity","2022","https://doi.org/10.1145/3545574","https://openalex.org/W4283313119","252","1","large language model attack graph cybersecurity"
"The Utility of ChatGPT as an Example of Large Language Models in Healthcare Education, Research and Practice: Systematic Review on the Future Perspectives and Potential Limitations","2023","https://doi.org/10.1101/2023.02.19.23286155","https://openalex.org/W4321499561","250","1","LLM grounded cyber threat intelligence source attribution"
"Leveraging Generative AI and Large Language Models: A Comprehensive Roadmap for Healthcare Integration","2023","https://doi.org/10.3390/healthcare11202776","https://openalex.org/W4387809804","244","1","large language model attack graph cybersecurity"
"Revolutionizing Cyber Threat Detection With Large Language Models: A Privacy-Preserving BERT-Based Lightweight Model for IoT/IIoT Devices","2024","https://doi.org/10.1109/access.2024.3363469","https://openalex.org/W4391582407","239","1","LLM grounded cyber threat intelligence source attribution"
"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","2023","https://doi.org/10.48550/arxiv.2311.05232","https://openalex.org/W4388585881","217","1","large language model security logs graph"
"Large language models in medical and healthcare fields: applications, advances, and challenges","2024","https://doi.org/10.1007/s10462-024-10921-0","https://openalex.org/W4402692877","205","1","large language model security logs graph"
"A Comprehensive Study of ChatGPT: Advancements, Limitations, and Ethical Considerations in Natural Language Processing and Cybersecurity","2023","https://doi.org/10.3390/info14080462","https://openalex.org/W4385878021","203","1","large language model attack graph cybersecurity"
"Counterattacking Cyber Threats: A Framework for the Future of Cybersecurity","2023","https://doi.org/10.3390/su151813369","https://openalex.org/W4386484284","201","1","large language model cyber threat intelligence knowledge graph"
"A Survey on Evaluation of Large Language Models","2023","https://doi.org/10.48550/arxiv.2307.03109","https://openalex.org/W4383605161","201","1","large language model security logs graph"
"StarCoder: may the source be with you!","2023","https://doi.org/10.48550/arxiv.2305.06161","https://openalex.org/W4376167329","197","1","LLM security log parsing semantic normalization"
"A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions","2024","https://doi.org/10.1109/access.2024.3355547","https://openalex.org/W4390970201","197","1","large language model cyber threat intelligence knowledge graph"
"Auditing large language models: a three-layered approach","2023","https://doi.org/10.1007/s43681-023-00289-2","https://openalex.org/W4381572755","195","1","large language model security logs graph"
"Graph Neural Networks for Intrusion Detection: A Survey","2023","https://doi.org/10.1109/access.2023.3275789","https://openalex.org/W4376480418","194","1","large language model provenance graph cybersecurity"
"Internet of Things Meet Internet of Threats: New Concern Cyber Security Issues of Critical Cyber Infrastructure","2021","https://doi.org/10.3390/app11104580","https://openalex.org/W3160611354","186","1","large language model cyber threat intelligence knowledge graph"
"Big Data for Energy Management and Energy-Efficient Buildings","2020","https://doi.org/10.3390/en13071555","https://openalex.org/W3013829230","162","1","cyber investigation planner provenance graph evidence acquisition cost"
"Defining Social Engineering in Cybersecurity","2020","https://doi.org/10.1109/access.2020.2992807","https://openalex.org/W3022956672","157","1","large language model attack graph cybersecurity"
"Developing an Ontology for Cyber Security Knowledge Graphs","2015","https://doi.org/10.1145/2746266.2746278","https://openalex.org/W1983551905","156","1","large language model cyber threat intelligence knowledge graph"
"Social Engineering in Cybersecurity: Effect Mechanisms, Human Vulnerabilities and Attack Methods","2021","https://doi.org/10.1109/access.2021.3051633","https://openalex.org/W3119847909","152","1","large language model attack graph cybersecurity"
"Review and insight on the behavioral aspects of cybersecurity","2020","https://doi.org/10.1186/s42400-020-00050-w","https://openalex.org/W3030593508","152","1","large language model attack graph cybersecurity"
"Artificial intelligence in cyber physical systems","2020","https://doi.org/10.1007/s00146-020-01049-0","https://openalex.org/W3081880709","150","1","large language model cyber threat intelligence knowledge graph"
"A Systematic Literature Review on Cyber Threat Intelligence for Organizational Cybersecurity Resilience","2023","https://doi.org/10.3390/s23167273","https://openalex.org/W4386028955","135","1","large language model cyber threat intelligence knowledge graph"
"Factuality challenges in the era of large language models and opportunities for fact-checking","2024","https://doi.org/10.1038/s42256-024-00881-z","https://openalex.org/W4401815218","135","1","LLM grounded cyber threat intelligence source attribution"
"Provenance-based Intrusion Detection Systems: A Survey","2022","https://doi.org/10.1145/3539605","https://openalex.org/W4311703141","132","1","large language model provenance graph cybersecurity"
"Detection of Real-Time Malicious Intrusions and Attacks in IoT Empowered Cybersecurity Infrastructures","2023","https://doi.org/10.1109/access.2023.3238664","https://openalex.org/W4320008781","127","1","large language model attack graph cybersecurity"
"Large Language Models for Code: Security Hardening and Adversarial Testing","2023","https://doi.org/10.1145/3576915.3623175","https://openalex.org/W4320560161","118","1","large language model security logs graph"
"Large Language Models for Software Engineering: A Systematic Literature Review","2023","https://doi.org/10.48550/arxiv.2308.10620","https://openalex.org/W4386081573","116","1","LLM security log parsing semantic normalization"
"Artificial intelligence risk management framework :","2024","https://doi.org/10.6028/nist.ai.600-1","https://openalex.org/W4394803801","115","1","LLM grounded cyber threat intelligence source attribution"
"Towards trustworthy LLMs: a review on debiasing and dehallucinating in large language models","2024","https://doi.org/10.1007/s10462-024-10896-y","https://openalex.org/W4401484139","111","1","LLM security log parsing semantic normalization"
"Large Language Models: A Comprehensive Survey of its Applications, Challenges, Limitations, and Future Prospects","2023","https://doi.org/10.36227/techrxiv.23589741.v4","https://openalex.org/W4388725733","107","1","LLM security log parsing semantic normalization"
"LLM-TIKG: Threat intelligence knowledge graph construction utilizing large language model","2024","https://doi.org/10.1016/j.cose.2024.103999","https://openalex.org/W4400612817","100","1","large language model cyber threat intelligence knowledge graph"
"The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges","2025","https://doi.org/10.3390/fi17090404","https://openalex.org/W4414023998","97","1","LLM telemetry knowledge graph cybersecurity"
"Measuring and visualizing cyber threat intelligence quality","2020","https://doi.org/10.1007/s10207-020-00490-y","https://openalex.org/W3009066821","85","1","large language model cyber threat intelligence knowledge graph"
"An ISM Modeling of Barriers for Blockchain/Distributed Ledger Technology Adoption in Supply Chains towards Cybersecurity","2021","https://doi.org/10.3390/su13094672","https://openalex.org/W3155049485","79","1","large language model provenance graph cybersecurity"
"Large Language Models for Forecasting and Anomaly Detection: A Systematic Literature Review","2024","https://doi.org/10.48550/arxiv.2402.10350","https://openalex.org/W4391940723","74","1","LLM security log parsing semantic normalization"
"Construction of Knowledge Graphs: Current State and Challenges","2024","https://doi.org/10.3390/info15080509","https://openalex.org/W4401807469","71","1","LLM provenance graph construction from logs"
"A Survey of Deep Anomaly Detection in Multivariate Time Series: Taxonomy, Applications, and Directions","2025","https://doi.org/10.3390/s25010190","https://openalex.org/W4405965607","70","1","LLM telemetry knowledge graph cybersecurity"
"Application of Large Language Models in Cybersecurity: A Systematic Literature Review","2024","https://doi.org/10.1109/access.2024.3505983","https://openalex.org/W4404688214","69","1","large language model attack graph cybersecurity"
"AI-enhanced collective intelligence","2024","https://doi.org/10.1016/j.patter.2024.101074","https://openalex.org/W4403300449","67","1","LLM grounded cyber threat intelligence source attribution"
"Large Language Models and Knowledge Graphs: Opportunities and Challenges","2023","https://doi.org/10.4230/tgdk.1.1.2","https://openalex.org/W4385848430","66","1","LLM provenance graph construction from logs"
"Provenance-Aware Knowledge Representation: A Survey of Data Models and Contextualized Knowledge Graphs","2020","https://doi.org/10.1007/s41019-020-00118-0","https://openalex.org/W3023112361","64","1","large language model provenance graph cybersecurity"
"Ensemble Large Language Models: A Survey","2025","https://doi.org/10.3390/info16080688","https://openalex.org/W4413169625","56","1","large language model provenance graph cybersecurity"
"Datasets for Large Language Models: A Comprehensive Survey","2024","https://doi.org/10.21203/rs.3.rs-3996137/v1","https://openalex.org/W4392402185","56","1","LLM provenance graph construction from logs"
"From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity","2025","https://doi.org/10.3390/computation13020030","https://openalex.org/W4406928793","54","1","large language model attack graph cybersecurity"
"Recent Progress of Using Knowledge Graph for Cybersecurity","2022","https://doi.org/10.3390/electronics11152287","https://openalex.org/W4286587365","53","1","large language model provenance graph cybersecurity"
"The Hitchhiker’s Guide to Fused Twins: A Review of Access to Digital Twins In Situ in Smart Cities","2022","https://doi.org/10.3390/rs14133095","https://openalex.org/W4283653915","52","1","cyber investigation planner provenance graph evidence acquisition cost"
"AttacKG+: Boosting attack graph construction with Large Language Models","2024","https://doi.org/10.1016/j.cose.2024.104220","https://openalex.org/W4404731747","50","1","large language model cyber threat intelligence knowledge graph"
"PAC-GPT: A Novel Approach to Generating Synthetic Network Traffic With GPT-3","2023","https://doi.org/10.1109/access.2023.3325727","https://openalex.org/W4387757573","49","1","LLM telemetry knowledge graph cybersecurity"
"A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges","2023","https://doi.org/10.36227/techrxiv.24171183.v1","https://openalex.org/W4387034804","48","1","large language model provenance graph cybersecurity"
"Standardization of the Distributed Ledger Technology cybersecurity stack for power and energy applications","2021","https://doi.org/10.1016/j.segan.2021.100553","https://openalex.org/W3210630146","48","1","large language model provenance graph cybersecurity"
"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities","2025","https://doi.org/10.3390/s25061666","https://openalex.org/W4408167800","47","1","LLM grounded cyber threat intelligence source attribution"
"Actionable Cyber Threat Intelligence Using Knowledge Graphs and Large Language Models","2024","https://doi.org/10.1109/eurospw61312.2024.00018","https://openalex.org/W4402158164","45","1","large language model cyber threat intelligence knowledge graph"
"Synergi: A Mixed-Initiative System for Scholarly Synthesis and Sensemaking","2023","https://doi.org/10.1145/3586183.3606759","https://openalex.org/W4385889990","44","1","LLM provenance graph construction from logs"
"Cybersecurity in Intelligent Transportation Systems","2020","https://doi.org/10.3390/computers9040083","https://openalex.org/W3125427820","42","1","large language model provenance graph cybersecurity"
"Digital Twin Applications in the Water Sector: A Review","2025","https://doi.org/10.3390/w17202957","https://openalex.org/W4415167017","41","1","cyber investigation planner provenance graph evidence acquisition cost"
"HuntGPT: Integrating Machine Learning-Based Anomaly Detection and Explainable AI with Large Language Models (LLMs)","2026","https://doi.org/10.3390/telecom7030073","https://openalex.org/W4387210439","39","1","LLM telemetry knowledge graph cybersecurity"
"Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training","2024","https://doi.org/10.48550/arxiv.2401.05566","https://openalex.org/W4390833079","36","1","LLM provenance graph construction from logs"
"An overview of model uncertainty and variability in LLM-based sentiment analysis: challenges, mitigation strategies, and the role of explainability","2025","https://doi.org/10.3389/frai.2025.1609097","https://openalex.org/W4413228182","35","1","LLM provenance graph construction from logs"
"DAPV: Diagnosing Anomalies in MANETs Routing With Provenance and Verification","2019","https://doi.org/10.1109/access.2019.2903150","https://openalex.org/W2920542163","33","1","large language model provenance graph cybersecurity"
"Smart City Middleware: A Survey and a Conceptual Framework","2024","https://doi.org/10.1109/access.2023.3349376","https://openalex.org/W4390534593","33","1","cyber investigation planner provenance graph evidence acquisition cost"
"Factuality Challenges in the Era of Large Language Models","2023","https://doi.org/10.48550/arxiv.2310.05189","https://openalex.org/W4387559778","33","1","large language model provenance graph cybersecurity"
"A Survey of Resource-efficient LLM and Multimodal Foundation Models","2024","https://doi.org/10.48550/arxiv.2401.08092","https://openalex.org/W4390962670","32","1","LLM security log parsing semantic normalization"
"A Conceptual Model Relationship between Industry 4.0—Food-Agriculture Nexus and Agroecosystem: A Literature Review and Knowledge Gaps","2024","https://doi.org/10.3390/foods13010150","https://openalex.org/W4390523543","31","1","cyber investigation planner provenance graph evidence acquisition cost"
"A Survey on Model Context Protocol: Architecture, State-of-the-art, Challenges and Future Directions","2025","https://doi.org/10.36227/techrxiv.174495492.22752319/v1","https://openalex.org/W4409562197","31","1","LLM telemetry knowledge graph cybersecurity"
"Constructing Knowledge Graph from Cyber Threat Intelligence Using Large Language Model","2023","https://doi.org/10.1109/bigdata59044.2023.10386611","https://openalex.org/W4391093150","30","1","large language model cyber threat intelligence knowledge graph"
