package_id,annotator_code,item_id,action_type,acquisition_channel,target_type,target_value,expected_evidence_types,natural_language_request,case_events_scanned_evidence,observed_window_seconds_evidence,E,V,D,A,R,rating_confidence,rating_evidence,reviewed
cost_v0.1_B,B,COST-DD71311D9B5E,recover_network_summary,network_telemetry,process,XIM,network_summary,,318821,1071.0899724960327,,,,,,,,no
cost_v0.1_B,B,COST-C0A98C43B8E4,human_review,analyst,process,python.exe multicast flow to 225.0.0.1:5000,local_log,Review interleaved Python multicast activity that should not be treated as a malicious-upgrade chain gap.,37301,898.3380000591278,,,,,,,,no
cost_v0.1_B,B,COST-02BEF882D3E3,query_host_subgraph,host_forensics,file,/system/bin/screencap,provenance_graph,Recover host provenance around screencap execution to place Micro APT collection in the C2/elevate campaign.,694872,0.0,,,,,,,,no
cost_v0.1_B,B,COST-D63FB1B7E6B2,query_host_subgraph,host_forensics,file,ethinfo.txt|recondata.txt,provenance_graph,Recover the provenance neighborhood of the reconnaissance output files.,3617566,960.829999923706,,,,,,,,no
cost_v0.1_B,B,COST-7F825033CDEC,query_host_subgraph,scranton_security,host,SCRANTON Security process records,local_log,Recover SCRANTON Security process-creation records around UAC bypass and remote execution.,,,,,,,,,,no
cost_v0.1_B,B,COST-480FF07115F1,human_review,analyst,context,/data/local/tmp/sl elevate-driver benign setup,local_log,Review the benign sl elevate-driver setup that should not be treated as an attack-chain gap.,694872,0.0,,,,,,,,no
cost_v0.1_B,B,COST-F02FDABA698A,recover_network_summary,network_telemetry,endpoint,Appstarter busybox outbound Micro APT C2 socket,network_summary,Recover Appstarter/Micro APT C2 flow summaries and any network-visible elevation indicators around the same window.,694872,700.4790000915527,,,,,,,,no
cost_v0.1_B,B,COST-2C967A7FBDF9,extend_log_window,scranton_powershell,host,SCRANTON PowerShell logs,local_log,Recover SCRANTON PowerShell execution records across the locked Day 1 investigation window.,,,,,,,,,,no
cost_v0.1_B,B,COST-FC05F3DC7029,human_review,analyst,case,R02 missing collection and exfiltration stages,human_review,Confirm that the provider trace contains no supportable complete collection or exfiltration chain.,258074,,,,,,,,,no
cost_v0.1_B,B,COST-18D9F54211A1,recover_network_summary,network_telemetry,endpoint,f.exe reverse TCP to 53.192.68.50:8080,network_summary,Recover reverse-TCP flow summaries and look for migration-adjacent activity around the same payload session.,37301,0.0,,,,,,,,no
cost_v0.1_B,B,COST-16B040E81701,query_host_subgraph,host_forensics,file,/var/log/netlog,provenance_graph,,318821,0.0,,,,,,,,no
cost_v0.1_B,B,COST-46B8CD15FA18,extend_log_window,nashua_powershell,host,NASHUA PowerShell logs,local_log,Recover NASHUA PowerShell records after the locked lateral-movement step.,,,,,,,,,,no
cost_v0.1_B,B,COST-3E183A8D287C,query_host_subgraph,host_forensics,host,Invoke-WmiMethod to SysClient0402,host_forensics,Recover WMI pivot evidence to SysClient0402 and any concurrent collection context.,753973,229.64900016784668,,,,,,,,no
cost_v0.1_B,B,COST-8D429E4E4EE6,query_host_subgraph,host_forensics,process,/tmp/.cache/upd,provenance_graph|malware_analysis,Query the local provenance subgraph rooted at /tmp/.cache/upd.,,,,,,,,,,no
cost_v0.1_B,B,COST-D7667880BDFB,recover_network_summary,network_telemetry,time_window,2026-07-01T10:06:00Z/2026-07-01T10:08:00Z,network_summary,Recover outbound network summary during the suspected exfiltration window.,,,,,,,,,,no
cost_v0.1_B,B,COST-1023DCFB0FC6,recover_network_summary,network_telemetry,endpoint,powershell Empire C2 to 132.197.158.98:80,network_summary,Recover Empire C2 flow summaries and any concurrent elevation indicators around the same window.,753973,9666.198999881744,,,,,,,,no
cost_v0.1_B,B,COST-DE0C1407A4E3,recover_network_summary,network_telemetry,ip,203.0.113.44,network_summary,Recover DNS and flow summaries for the suspected external endpoint.,,,,,,,,,,no
cost_v0.1_B,B,COST-5063B867CDEA,ttp_local_probe,host_probe,technique,T1059,local_log|provenance_graph,Probe local evidence for command and scripting interpreter behavior.,,,,,,,,,,no
cost_v0.1_B,B,COST-0D71980639EF,extend_log_window,log_retention,process,nginx,local_log|network_summary,,318821,2335.4099502563477,,,,,,,,no
cost_v0.1_B,B,COST-CCD52AE341D9,ttp_local_probe,host_probe,registry_key,HKCU\Environment\windir UAC bypass,host_forensics,Probe the windir Environment UAC bypass and any concurrent desktop-collection artifacts.,753973,0.0,,,,,,,,no
cost_v0.1_B,B,COST-EF4DB7B47F14,ttp_local_probe,host_probe,technique,T1003,local_log,Probe EDR telemetry for LSASS credential access.,,,,,,,,,,no
cost_v0.1_B,B,COST-0AE07A2B3A43,ttp_local_probe,host_probe,file,/dev/msm_g711tlaw elevate device,provenance_graph,Probe local provenance for the msm_g711tlaw elevate device open and any concurrent Micro APT collection artifacts.,694872,0.0,,,,,,,,no
cost_v0.1_B,B,COST-D23E1DD94311,human_review,analyst,registry_key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\WinUpdate,human_review,Review the registry persistence observation.,,,,,,,,,,no
cost_v0.1_B,B,COST-5BC736C50F44,query_host_subgraph,host_forensics,case,R01 collection-to-exfiltration chain,provenance_graph|network_summary,Recover the joined collection and netrecon exfiltration subgraph.,3617566,3572.356000185013,,,,,,,,no
cost_v0.1_B,B,COST-5D4F460A7EE8,recover_network_summary,network_telemetry,ip,192.0.2.88,network_summary,Recover DNS and flow summaries for the Windows host.,,,,,,,,,,no
cost_v0.1_B,B,COST-4454F0CDCD1F,human_review,precinct_projection_review,case,f10c7270-1228-11ed-99ed-adca11e4059c,human_review,Review the vendor incident projection and record its provenance boundary.,,,,,,,,,,no
cost_v0.1_B,B,COST-7EBA5A16E57C,query_host_subgraph,host_forensics,file,/tmp/.cache/archive.tgz,provenance_graph,Query provenance around the archive file created during collection.,,,,,,,,,,no
cost_v0.1_B,B,COST-6454721F8AE5,query_host_subgraph,host_forensics,file,/var/log/sshdlog,provenance_graph,Recover host provenance around /var/log/sshdlog to place post-compromise activity in the elevation chain.,256297,0.0,,,,,,,,no
cost_v0.1_B,B,COST-04B42D3EAECD,query_host_subgraph,host_forensics,process,/data/data/de.belu.appstarter/busybox lineage,provenance_graph|network_summary,Recover the Appstarter busybox host lineage to confirm C2 and look for elevation-adjacent process context.,694872,700.4790000915527,,,,,,,,no
cost_v0.1_B,B,COST-52B48F47D3A5,ttp_local_probe,host_probe,technique,T1046,network_summary,,318821,75.38999605178833,,,,,,,,no
cost_v0.1_B,B,COST-ED2059E0334D,query_host_subgraph,host_forensics,thread,remote thread from f.exe PID 1932 to lwabeat PID 1256,host_forensics,Recover the f.exe-to-lwabeat remote-thread migration and correlate it with the reverse-TCP session.,37301,0.0,,,,,,,,no
cost_v0.1_B,B,COST-6830AC7E93E7,recover_network_summary,network_telemetry,process,test,network_summary,,318821,179.56998252868652,,,,,,,,no
cost_v0.1_B,B,COST-A919967F09FC,human_review,analyst,claim,C02-EC-010,human_review,Review the weak DNS observation before treating it as C2 support.,,,,,,,,,,no
cost_v0.1_B,B,COST-776959F47371,human_review,analyst,process,GoogleUpdate.exe benign updater activity,local_log,Review interleaved Google Update process activity that should not be treated as an Empire attack-chain gap.,753973,11650.430000066757,,,,,,,,no
cost_v0.1_B,B,COST-8AF9544E370B,ttp_local_probe,asa_targeted_probe,technique,targeted service-access observation around destination port 445,local_log,Recover a representative ASA record for the blocked destination-port-445 observation.,,,,,,,,,,no
cost_v0.1_B,B,COST-9D79C7ED950B,query_host_subgraph,host_forensics,module,Empire Get-Screenshot,host_forensics,Recover shell provenance around Get-Screenshot to place collection in the Empire C2 campaign.,753973,0.0,,,,,,,,no
cost_v0.1_B,B,COST-1D6774DBDBD7,ioc_enrichment,threat_intel,case,R02 external endpoints,ioc_enrichment,Enrich the R02 external endpoints against threat-intel infrastructure to confirm the C2 node when flow telemetry is unavailable.,258074,2753.259937763214,,,,,,,,no
cost_v0.1_B,B,COST-EEC09BF5233E,query_host_subgraph,host_forensics,case,R03 post-exploitation chain,provenance_graph|network_summary,,318821,1071.0899724960327,,,,,,,,no
cost_v0.1_B,B,COST-CCFBE4B9DBF3,query_host_subgraph,host_forensics,file,C:\ProgramData\cache.7z,provenance_graph|network_summary,Trace the archive from collection through outbound transfer.,,,,,,,,,,no
cost_v0.1_B,B,COST-4ECD7106E0CA,extend_log_window,log_retention,host,freebsd-web-01,local_log|provenance_graph,Extend BSM audit coverage around the initial shell execution.,,,,,,,,,,no
cost_v0.1_B,B,COST-99F8DC0E5A6A,recover_network_summary,network_telemetry,endpoint,Firefox to 208.203.20.42:80,network_summary,Recover Firefox C2 flow summaries and any network-visible follow-on elevation indicators around the same window.,256297,705.0703763961792,,,,,,,,no
cost_v0.1_B,B,COST-656558972BEA,recover_network_summary,network_telemetry,ip,198.51.100.77,network_summary,Recover network flow summaries involving 198.51.100.77.,,,,,,,,,,no
cost_v0.1_B,B,COST-A2F44B694E23,query_host_subgraph,host_forensics,process,f.exe C2 lineage,network_summary|host_forensics,Recover host-backed f.exe C2 lineage and inspect adjacent remote-thread activity.,37301,0.0,,,,,,,,no
cost_v0.1_B,B,COST-2ABF2263B496,recover_network_summary,network_telemetry,case,R02 external endpoints,network_summary,Recover flow summaries for the post-exploitation external endpoints.,258074,2753.259937763214,,,,,,,,no
cost_v0.1_B,B,COST-3BB4CB65783D,ttp_local_probe,host_probe,command,/sbin/modprobe -q -- binfmt-0000,provenance_graph,Probe local provenance for the binfmt elevation handler and any immediate post-elevation host artifacts.,256297,269.67596340179443,,,,,,,,no
cost_v0.1_B,B,COST-A9FED35C30D2,cti_report_lookup,threat_intel,ip,16.54.116.146,infrastructure_history,Look up documented C2 infrastructure for 16.54.116.146 to confirm the command-and-control node when Firefox flow telemetry is unavailable.,3617566,1897.3280000686646,,,,,,,,no
cost_v0.1_B,B,COST-474B2B02A415,recover_network_summary,network_telemetry,process,firefox.exe,network_summary,Recover Firefox flows to the C2 and netrecon endpoints.,3617566,1897.3280000686646,,,,,,,,no
cost_v0.1_B,B,COST-6711C38E5DF2,ttp_local_probe,host_probe,technique,T1005,provenance_graph,Probe document access in the target user's Documents directory.,3617566,3572.356000185013,,,,,,,,no
cost_v0.1_B,B,COST-79413E2373B9,query_host_subgraph,host_forensics,process,/tmp/.kworker,provenance_graph|local_log,Recover the provenance subgraph rooted at /tmp/.kworker.,,,,,,,,,,no
cost_v0.1_B,B,COST-1D49F980849A,query_host_subgraph,host_forensics,file,/tmp/vUgefal,provenance_graph|local_log,Recover the provenance subgraph for the downloaded and elevated payload.,258074,1982.1599531173706,,,,,,,,no
cost_v0.1_B,B,COST-FC47597539BA,extend_log_window,log_retention,host,WIN-ACCT-07,local_log|provenance_graph,Extend Sysmon and EDR coverage around the initial PowerShell event.,,,,,,,,,,no
